time,temp,prcp
2024-06-22,21.4,0.0
2024-06-23,21.6,0.0
2024-06-24,22.1,2.2
2024-06-25,21.9,5.7
2024-06-26,22.7,0.6
2024-06-27,22.4,1.4
2024-06-28,22.6,7.3
2024-06-29,22.0,13.7
2024-06-30,23.0,1.9
2024-07-01,22.6,5.2
2024-07-02,22.0,12.4
2024-07-03,22.6,1.1
2024-07-04,21.6,11.1
2024-07-05,22.5,12.1
2024-07-06,21.8,4.4
2024-07-07,22.0,6.9
2024-07-08,22.3,3.0
2024-07-09,22.6,0.2
2024-07-10,22.4,0.2
2024-07-11,21.5,0.0
2024-07-12,20.5,0.1
2024-07-13,20.2,0.0
2024-07-14,20.0,0.0
2024-07-15,19.9,0.0
2024-07-16,21.0,0.0
2024-07-17,22.1,1.6
2024-07-18,21.9,0.8
2024-07-19,21.9,0.0
2024-07-20,21.2,0.0
2024-07-21,22.1,0.0
2024-07-22,21.9,0.0
2024-07-23,22.0,0.0
2024-07-24,23.1,0.9
2024-07-25,22.4,2.0
2024-07-26,22.6,0.0
2024-07-27,22.4,0.2
2024-07-28,22.4,0.0
2024-07-29,22.2,0.5
2024-07-30,22.3,0.0
2024-07-31,22.8,0.5
2024-08-01,21.8,1.7
2024-08-02,22.1,3.9
2024-08-03,21.5,4.5
2024-08-04,22.5,0.0
2024-08-05,22.1,0.0
2024-08-06,22.2,0.0
2024-08-07,22.4,0.0
2024-08-08,22.4,1.2
2024-08-09,23.3,0.2
2024-08-10,23.0,0.5
2024-08-11,23.1,0.0
2024-08-12,21.3,0.0
2024-08-13,22.3,0.0
2024-08-14,22.2,0.0
2024-08-15,22.7,0.0
2024-08-16,22.6,0.0
2024-08-17,23.1,0.0
2024-08-18,23.5,0.2
2024-08-19,23.4,0.0
2024-08-20,23.3,0.2
2024-08-21,23.6,0.2
2024-08-22,23.6,1.0
2024-08-23,23.5,0.9
2024-08-24,22.8,0.0
2024-08-25,22.5,0.0
2024-08-26,23.2,1.0
2024-08-27,22.7,0.0
2024-09-05,22.6,10.7
2024-09-06,24.1,0.5
2024-09-07,23.3,0.0
2024-09-08,23.6,13.9
2024-09-09,22.5,16.7
2024-09-10,22.1,22.3
2024-09-11,22.9,8.1
2024-09-12,23.2,0.9
2024-09-13,21.9,0.0
2024-09-14,21.7,0.0
2024-09-15,21.8,0.1
2024-09-16,22.0,0.0
2024-09-17,22.0,0.0
2024-09-18,21.7,0.0
2024-09-19,22.0,0.0
2024-09-20,22.9,0.0
2024-09-21,24.0,0.0
2024-09-22,23.8,2.8
2024-09-23,23.6,11.6
2024-09-24,22.1,20.4
2024-09-25,22.3,10.6
2024-09-26,22.9,0.4
2024-09-27,23.3,2.5
2024-09-28,23.3,2.0
2024-09-29,22.8,3.3
2024-09-30,23.6,1.0
2024-10-01,23.1,15.1
2024-10-02,23.6,3.2
2024-10-03,23.3,2.3
2024-10-04,22.6,1.5
2024-10-05,22.7,2.0
2024-10-06,23.0,2.3
2024-10-07,23.9,0.0
2024-10-08,24.2,0.8
2024-10-09,23.9,1.8
2024-10-10,23.2,6.4
2024-10-11,24.2,1.1
2024-10-12,24.6,0.7
2024-10-13,24.6,0.0
2024-10-14,23.9,1.0
2024-10-15,24.4,1.5
2024-10-16,24.2,0.0
2024-10-17,22.9,0.0
2024-10-18,23.2,0.6
2024-10-19,23.7,0.0
2024-10-20,23.7,0.0
2024-10-21,23.8,0.7
2024-10-22,24.0,1.6
2024-10-23,23.8,3.5
2024-10-24,23.8,1.0
2024-10-25,24.3,0.0
2024-10-26,24.2,1.2
2024-10-27,23.5,13.8
2024-10-28,23.4,0.6
2024-10-29,23.9,0.0
2024-10-30,23.4,0.5
2024-10-31,22.9,4.6
2024-11-01,22.7,6.3
2024-11-02,22.8,8.5
2024-11-03,21.9,24.8
2024-11-04,22.1,16.4
2024-11-05,21.9,11.5
2024-11-06,21.9,6.4
2024-11-07,22.3,3.1
2024-11-08,23.0,8.9
2024-11-09,22.3,20.4
2024-11-10,22.7,9.5
2024-11-11,22.2,24.2
2024-11-12,22.0,12.3
2024-11-13,23.1,2.1
2024-11-14,23.6,2.4
2024-11-15,23.5,4.4
2024-11-16,23.0,6.4
2024-11-17,22.8,16.5
2024-11-18,22.2,25.8
2024-11-19,22.3,31.0
2024-11-20,22.3,11.2
2024-11-21,22.1,43.6
2024-11-22,22.7,12.2
2024-11-23,22.6,11.5
2024-11-24,22.6,14.4
2024-11-25,23.1,13.2
2024-11-26,23.5,7.5
2024-11-27,22.7,4.5
2024-11-28,23.2,0.0
2024-11-29,23.9,0.0
2024-11-30,23.9,4.5
2024-12-01,23.1,8.1
2024-12-02,22.6,27.1
2024-12-03,22.5,12.5
2024-12-04,21.7,7.0
2024-12-05,22.7,18.0
2024-12-06,22.7,7.6
2024-12-07,23.1,9.3
2024-12-08,23.5,3.5
2024-12-09,22.7,5.1
2024-12-14,22.6,8.2
2024-12-15,22.4,9.2
2024-12-16,23.0,4.0
2024-12-17,23.2,5.9
2024-12-18,22.7,3.6
2024-12-19,23.3,1.3
2024-12-20,22.6,3.0
2024-12-21,23.0,0.0
2024-12-22,23.1,8.0
2024-12-23,22.8,6.8
2024-12-24,22.4,9.7
2024-12-25,22.7,12.7
2024-12-26,23.3,0.0
2024-12-27,24.1,0.4
2024-12-28,23.8,0.8
2024-12-29,23.2,1.5
2024-12-30,22.9,6.0
2024-12-31,22.9,0.2
2025-01-01,23.1,8.2
2025-01-02,23.8,0.0
2025-01-03,24.0,2.3
2025-01-04,23.2,3.1
2025-01-05,23.2,0.1
2025-01-06,22.5,2.2
2025-01-07,22.7,10.2
2025-01-08,22.5,1.2
2025-01-09,21.8,6.9
2025-01-10,22.8,5.2
2025-01-11,23.0,2.9
2025-01-12,22.6,6.2
2025-01-13,23.2,12.9
2025-01-14,22.7,5.2
2025-01-15,23.4,0.0
2025-01-16,23.5,1.6
2025-01-17,23.0,6.7
2025-01-18,22.4,8.8
2025-01-19,22.6,8.0
2025-01-20,21.8,3.0
2025-01-21,21.8,3.2
2025-01-22,22.8,2.0
2025-01-23,22.6,2.6
2025-01-24,22.4,3.9
2025-01-25,22.6,15.8
2025-01-26,22.6,16.6
2025-01-27,23.1,0.2
2025-01-28,22.6,12.8
2025-01-29,21.8,15.8
2025-01-30,21.3,4.1
2025-01-31,22.7,0.4
2025-02-01,22.6,1.4
2025-02-02,23.1,1.2
2025-02-03,23.6,0.2
2025-02-04,23.1,1.3
2025-02-05,22.7,3.4
2025-02-06,22.1,5.3
2025-02-07,22.4,3.9
2025-02-08,22.4,6.2
2025-02-09,22.9,2.7
2025-02-10,23.2,3.8
2025-02-11,23.5,0.1
2025-02-12,24.3,0.6
2025-02-13,23.6,6.5
2025-02-14,23.3,7.1
2025-02-15,23.2,3.0
2025-02-16,22.6,5.0
2025-02-17,22.0,12.8
2025-02-18,22.3,8.3
2025-02-19,21.8,8.8
2025-02-20,23.0,3.1
2025-02-21,22.9,5.8
2025-02-22,23.0,2.3
2025-02-23,22.4,3.9
2025-02-24,21.9,15.7
2025-02-25,22.0,18.1
2025-02-26,22.2,3.3
2025-02-27,22.1,30.5
2025-02-28,22.2,26.2
2025-03-01,22.9,17.4
2025-03-02,23.0,6.4
2025-03-03,22.9,7.4
2025-03-04,22.6,9.8
2025-03-05,23.4,1.1
2025-03-06,22.7,27.1
2025-03-07,23.1,12.8
2025-03-08,22.3,20.3
2025-03-09,21.7,24.6
2025-03-10,22.1,13.9
2025-03-11,22.7,5.1
2025-03-12,22.7,11.6
2025-03-13,22.4,8.5
2025-03-14,22.6,4.3
2025-03-22,22.7,1.2
2025-03-23,23.0,1.9
2025-03-24,22.9,1.7
2025-03-25,23.1,0.6
2025-03-26,22.7,2.5
2025-03-27,23.3,1.6
2025-03-28,22.1,8.6
2025-03-29,23.0,2.5
2025-03-30,23.2,0.1
2025-03-31,23.0,0.3
2025-04-01,21.4,19.3
2025-04-02,21.5,9.1
2025-04-03,21.7,10.0
2025-04-04,21.7,2.7
2025-04-05,21.4,16.8
2025-04-06,22.2,8.4
2025-04-07,23.2,1.4
2025-04-08,23.0,1.2
2025-04-09,22.8,2.5
2025-04-10,22.2,21.2
2025-04-11,22.5,13.0
2025-04-12,21.8,33.9
2025-04-13,21.5,28.7
2025-04-14,22.1,4.6
2025-04-15,21.6,31.4
2025-04-16,22.0,9.5
2025-04-17,22.5,8.8
2025-04-18,22.2,7.1
2025-04-19,22.5,5.1
2025-04-20,22.8,4.6
2025-04-21,22.3,5.4
2025-04-22,22.7,1.5
2025-04-23,21.7,7.8
2025-04-24,21.7,9.1
2025-04-25,22.2,8.1
2025-04-26,22.3,4.6
2025-04-27,22.7,1.5
2025-04-28,22.9,0.0
2025-04-29,22.2,0.7
2025-04-30,22.7,0.1
2025-05-01,23.1,0.7
2025-05-02,22.4,6.2
2025-05-03,22.9,7.7
2025-05-04,22.1,26.6
2025-05-05,22.3,4.7
2025-05-06,22.8,2.2
2025-05-07,22.5,11.2
2025-05-08,22.3,7.6
2025-05-09,22.7,5.5
2025-05-10,22.7,10.2
2025-05-11,22.6,4.7
2025-05-12,22.6,3.5
2025-05-13,22.6,29.9
2025-05-14,21.9,21.8
2025-05-15,22.2,13.8
2025-05-16,22.2,5.9
2025-05-17,22.6,8.1
2025-05-18,22.5,4.6
2025-05-19,22.7,0.3
2025-05-20,22.9,1.2
2025-05-21,21.4,12.3
2025-05-22,21.8,30.0
2025-05-23,21.1,30.5
2025-05-24,22.1,21.7
2025-05-25,22.6,2.3
2025-05-26,21.9,4.6
2025-05-27,23.3,0.3
2025-05-28,23.2,1.2
2025-05-29,22.8,1.7
2025-05-30,23.0,0.2
2025-05-31,22.9,1.0
2025-06-01,21.7,0.3
2025-06-02,22.8,1.3
2025-06-03,22.1,6.3
2025-06-04,22.2,1.6
2025-06-05,22.7,1.4
2025-06-06,22.2,17.1
2025-06-07,22.7,2.8
2025-06-08,22.4,0.0
2025-06-09,22.1,0.9
2025-06-10,21.9,5.5
2025-06-11,22.1,2.2
2025-06-12,22.9,1.0
2025-06-13,23.2,1.2
2025-06-14,23.2,0.3
2025-06-15,22.6,2.9
2025-06-16,22.8,4.3
2025-06-17,22.0,2.8
2025-06-18,21.5,18.4
2025-06-19,21.5,0.6
2025-06-20,21.4,16.4
2025-06-21,21.3,13.3
2025-06-22,22.3,1.8
2025-06-23,21.9,1.4
2025-06-24,21.5,3.2
2025-06-25,21.4,2.2
2025-06-26,22.5,0.0
2025-06-27,22.2,0.5
2025-06-28,21.3,12.6
2025-06-29,20.9,1.7
2025-06-30,22.1,2.6
2025-07-01,21.6,13.9
2025-07-02,21.6,3.2
2025-07-03,22.2,1.5
2025-07-04,21.5,12.6
2025-07-05,21.1,13.1
2025-07-06,21.2,13.6
2025-07-07,21.4,2.7
2025-07-08,22.1,6.1
2025-07-09,21.7,0.0
2025-07-10,21.0,0.0
2025-07-11,20.9,3.0
2025-07-12,21.8,0.0
2025-07-13,21.8,1.4
2025-07-14,21.8,8.8
2025-07-15,22.1,0.0
2025-07-16,22.1,1.2
2025-07-17,22.5,0.0
2025-07-18,21.5,0.0
2025-07-19,22.2,0.0
2025-07-20,21.9,0.0
2025-07-21,22.3,0.0
2025-07-22,21.9,0.0
2025-07-23,22.3,0.0
2025-07-24,22.3,2.0
2025-07-25,22.5,3.3
2025-07-26,22.7,0.3
2025-07-27,22.8,1.9
2025-07-28,22.4,1.7
2025-07-29,22.7,0.0
2025-07-30,22.8,2.4
2025-07-31,23.3,0.6
2025-08-01,23.0,2.6
2025-08-02,23.1,1.3
2025-08-03,22.6,3.5
2025-08-04,21.7,20.2
2025-08-05,21.3,23.0
2025-08-06,22.5,1.4
2025-08-07,22.6,1.0
2025-08-08,22.9,0.5
2025-08-09,22.1,6.4
2025-08-10,22.5,0.9
2025-08-11,21.7,12.5
2025-08-12,21.2,2.1
2025-08-13,21.0,23.9
2025-08-14,20.3,31.4
2025-08-15,21.0,3.3
2025-08-16,21.7,2.5
2025-08-17,22.1,0.9
2025-08-18,21.5,7.7
2025-08-19,21.3,21.2
2025-08-20,21.4,4.2
2025-08-21,22.0,0.8
2025-08-22,21.6,2.1
2025-08-23,21.9,2.6
2025-08-24,22.6,1.6
2025-08-25,21.9,1.7
2025-08-26,21.6,0.0
2025-08-27,21.6,0.1
2025-08-28,22.3,4.2
2025-08-29,22.1,2.2
2025-08-30,22.3,8.4
2025-08-31,21.5,22.4
2025-09-01,22.8,0.8
2025-09-02,22.4,0.0
2025-09-03,23.0,0.0
2025-09-04,23.3,0.0
2025-09-05,21.9,8.7
2025-09-06,22.3,0.0
2025-09-07,22.0,0.0
2025-09-08,21.7,13.8
2025-09-09,21.2,7.5
2025-09-10,21.9,12.4
2025-09-11,21.0,16.3
2025-09-12,21.8,5.6
2025-09-13,22.5,0.6
2025-09-14,22.6,0.0
2025-09-15,22.3,0.1
2025-09-16,22.3,2.1
2025-09-17,21.8,5.9
2025-09-18,22.1,4.9
2025-09-19,21.9,14.2
2025-09-20,21.9,8.0
2025-09-21,21.9,10.7
2025-09-22,23.4,0.0
2025-09-23,23.6,0.0
2025-09-24,23.1,0.5
2025-09-25,22.8,3.0
2025-09-26,22.9,11.4
2025-09-27,23.5,1.2
2025-09-28,23.3,4.3
2025-09-29,21.9,10.2
2025-09-30,21.7,28.5
2025-10-01,21.8,11.0
2025-10-02,21.1,14.8
2025-10-03,23.0,0.9
2025-10-04,23.6,0.4
2025-10-05,22.9,0.2
2025-10-06,23.0,0.5
2025-10-07,23.1,0.6
2025-10-08,22.9,0.3
2025-10-09,23.2,0.1
2025-10-10,23.1,1.7
2025-10-11,22.6,8.5
2025-10-12,23.8,0.0
2025-10-13,23.2,7.4
2025-10-14,24.0,0.5
2025-10-15,24.3,0.0
2025-10-16,24.7,0.6
2025-10-17,23.9,3.2
2025-10-18,23.6,7.1
2025-10-19,23.6,5.3
2025-10-20,23.5,10.8
2025-10-21,22.7,49.3
2025-10-22,22.7,6.3
2025-10-23,22.0,16.0
2025-10-24,21.7,27.2
2025-10-25,22.2,5.1
2025-10-26,21.7,9.7
2025-10-27,22.0,5.8
2025-10-28,21.5,9.6
2025-10-29,22.2,6.0
2025-10-30,22.0,15.9
2025-10-31,21.6,25.6
2025-11-01,22.3,13.1
2025-11-02,21.8,33.7
2025-11-03,21.8,13.2
2025-11-04,22.4,7.2
2025-11-05,22.4,8.4
2025-11-06,22.3,8.7
2025-11-07,22.7,9.1
2025-11-08,21.6,17.1
2025-11-09,22.5,8.2
2025-11-10,22.6,6.6
2025-11-11,22.1,13.5
2025-11-12,21.3,9.7
2025-11-13,21.8,3.2
2025-11-14,21.9,9.5
2025-11-15,22.4,8.1
2025-11-16,22.4,6.5
2025-11-17,22.2,17.6
2025-11-18,22.1,4.8
2025-11-19,22.0,8.3
2025-11-20,21.9,16.3
2025-11-21,22.6,1.3
2025-11-22,22.1,16.3
2025-11-23,21.3,4.9
2025-11-24,22.9,0.0
2025-11-25,22.9,0.0
2025-11-26,23.1,0.4
2025-11-27,23.0,0.6
2025-11-28,22.9,0.0
2025-11-29,22.3,2.0
2025-11-30,22.2,4.1
2025-12-01,22.2,3.8
2025-12-02,22.4,14.0
2025-12-03,22.0,27.0
2025-12-04,21.6,27.9
2025-12-05,22.1,7.3
2025-12-06,21.4,24.7
2025-12-07,21.9,2.5
2025-12-08,21.8,2.3
2025-12-09,21.7,2.4
2025-12-10,21.8,5.9
2025-12-11,22.3,5.4
2025-12-12,22.8,0.0
2025-12-13,22.2,2.4
2025-12-14,22.2,7.3
2025-12-15,23.2,0.8
2025-12-16,23.1,3.0
2025-12-17,22.1,10.0
2025-12-18,22.4,3.0
2025-12-19,22.4,2.2
2025-12-20,22.0,6.3
2025-12-21,22.4,6.0
2025-12-22,22.3,4.3
2025-12-23,22.6,8.3
2025-12-24,22.9,0.7
2025-12-25,23.8,1.0
2025-12-26,23.4,0.4
2025-12-27,22.8,10.9
2025-12-28,22.8,6.8
2025-12-29,22.3,18.3
2025-12-30,22.4,6.4
2025-12-31,21.2,13.0
